dimm_name,vdd,vendor,error_cacheline_percent
A1,1.1,A,0.0986963510513
A2,1.1,A,0.00033974647522
A4,1.1,A,81.877836585
A5,1.1,A,1.19209289551e-05
A6,1.1,A,8.94893407822
A7,1.1,A,89.6379262209
A8,1.1,A,13.5356396437
A9,1.1,A,0.0
A10,1.1,A,68.8074558973
A1,1.125,A,0.0
A2,1.125,A,0.0
A3,1.125,A,3.60795557499
A4,1.125,A,0.0
A5,1.125,A,0.0
A6,1.125,A,0.0
A7,1.125,A,0.0
A8,1.125,A,0.0
A9,1.125,A,0.0
A10,1.125,A,0.0
A1,1.15,A,0.0
A2,1.15,A,0.0
A3,1.15,A,0.0
A4,1.15,A,0.0
A5,1.15,A,0.0
A6,1.15,A,0.0
A7,1.15,A,0.0
A8,1.15,A,0.0
A9,1.15,A,0.0
A10,1.15,A,0.0
A1,1.175,A,0.0
A2,1.175,A,0.0
A3,1.175,A,0.0
A1,1.2,A,0.0
A2,1.2,A,0.0
A3,1.2,A,0.0
A4,1.2,A,0.0
A5,1.2,A,0.0
A6,1.2,A,0.0
A7,1.2,A,0.0
A8,1.2,A,0.0
A9,1.2,A,0.0
A10,1.2,A,0.0
A1,1.25,A,0.0
A2,1.25,A,0.0
A3,1.25,A,0.0
A4,1.25,A,0.0
A5,1.25,A,0.0
A6,1.25,A,0.0
A1,1.3,A,0.0
A2,1.3,A,0.0
A3,1.3,A,0.0
A4,1.3,A,0.0
A5,1.3,A,0.0
A6,1.3,A,0.0
A1,1.35,A,0.0
A2,1.35,A,0.0
A3,1.35,A,0.0
A4,1.35,A,0.0
A5,1.35,A,0.0
A6,1.35,A,0.0
A7,1.35,A,0.0
A8,1.35,A,0.0
A9,1.35,A,0.0
A10,1.35,A,0.0
B7,1.025,B,56.378608942
B8,1.025,B,1.81890428066
B9,1.025,B,20.1070934534
B1,1.025,B,0.0037282705307
B3,1.05,B,0.00772774219513
B4,1.05,B,0.0272065401077
B7,1.05,B,0.131186842918
B8,1.05,B,0.00301599502563
B9,1.05,B,0.0247091054916
B10,1.05,B,31.9610863924
B11,1.05,B,0.0646144151688
B1,1.05,B,0.00457763671875
B2,1.05,B,0.222727656364
B3,1.075,B,0.000366568565369
B4,1.075,B,8.94069671631e-06
B5,1.075,B,0.165989995003
B7,1.075,B,0.00561773777008
B8,1.075,B,2.98023223877e-06
B9,1.075,B,6.85453414917e-05
B10,1.075,B,0.0300258398056
B11,1.075,B,0.000298023223877
B12,1.075,B,4.76837158203e-05
B1,1.075,B,0.000137090682983
B2,1.075,B,0.00474452972412
B3,1.1,B,0.0
B4,1.1,B,0.0
B5,1.1,B,0.000634789466858
B7,1.1,B,0.0
B8,1.1,B,2.98023223877e-06
B9,1.1,B,2.98023223877e-06
B10,1.1,B,0.000128149986267
B11,1.1,B,0.0
B12,1.1,B,0.0
B1,1.1,B,0.0
B2,1.1,B,0.00101625919342
B3,1.125,B,0.0
B5,1.125,B,0.0
B8,1.125,B,0.0
B9,1.125,B,0.0
B10,1.125,B,0.0
B1,1.125,B,0.0
B2,1.125,B,2.98023223877e-06
B3,1.15,B,0.0
B4,1.15,B,0.0
B5,1.15,B,0.0
B7,1.15,B,0.0
B8,1.15,B,0.0
B9,1.15,B,0.0
B10,1.15,B,0.0
B11,1.15,B,0.0
B12,1.15,B,0.0
B1,1.15,B,0.0
B2,1.15,B,0.0
B3,1.175,B,0.0
B1,1.175,B,0.0
B2,1.175,B,0.0
B3,1.2,B,0.0
B4,1.2,B,0.0
B5,1.2,B,0.0
