dimm_name,vendor,vdd,temperature(C),refresh_interval(ms),bank0_bit_err_count,bank1_bit_err_count,bank2_bit_err_count,bank3_bit_err_count,bank4_bit_err_count,bank5_bit_err_count,bank6_bit_err_count,bank7_bit_err_count,total_dimm_bit_err_count
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
A1,A,1.15,20,1024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,11.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,10.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,12.0,3.0,11.0,6.0,4.0,5.0,8.0,4.0,53.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,9.0
A1,A,1.15,20,2048,12.0,4.0,12.0,9.0,5.0,5.0,8.0,4.0,59.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,13.0,2.0,12.0,7.0,5.0,5.0,8.0,4.0,56.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,10.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,12.0,2.0,10.0,7.0,4.0,5.0,6.0,4.0,50.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,4.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,10.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1024,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,12.0,2.0,10.0,5.0,4.0,4.0,7.0,4.0,48.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,13.0,2.0,10.0,6.0,4.0,5.0,8.0,4.0,52.0
A1,A,1.15,20,2048,13.0,3.0,12.0,7.0,4.0,5.0,8.0,4.0,56.0
A1,A,1.15,20,2048,13.0,2.0,10.0,7.0,4.0,3.0,6.0,4.0,49.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,A,1.15,20,2048,13.0,3.0,11.0,9.0,5.0,5.0,7.0,4.0,57.0
